SLJ,S'L'J',A_ed,A_md,A,β_R (%),A_T (s⁻¹),τ_R (ms)
2H11/2,4F9/2,[225.0739474],[0.],[225.0739474],[0.50147878],[44882.04856904],[0.02228062]
2H11/2,4I11/2,[469.41369011],[0.],[469.41369011],[1.04588294],[44882.04856904],[0.02228062]
2H11/2,4I13/2,[693.86941701],[0.],[693.86941701],[1.54598428],[44882.04856904],[0.02228062]
2H11/2,4I15/2,[42804.72527532],[0.],[42804.72527532],[95.3715943],[44882.04856904],[0.02228062]
2H11/2,4I9/2,[688.26576687],[0.],[688.26576687],[1.533499],[44882.04856904],[0.02228062]
2H11/2,4S3/2,[0.70047232],[0.],[0.70047232],[0.0015607],[44882.04856904],[0.02228062]
4S3/2,4F9/2,[7.73657339],[0.],[7.73657339],[0.07611297],[10164.59259007],[0.09838073]
4S3/2,4I11/2,[222.97036213],[0.],[222.97036213],[2.19359861],[10164.59259007],[0.09838073]
4S3/2,4I13/2,[2451.68923804],[0.],[2451.68923804],[24.11989675],[10164.59259007],[0.09838073]
4S3/2,4I15/2,[6953.71768822],[0.],[6953.71768822],[68.41117956],[10164.59259007],[0.09838073]
4S3/2,4I9/2,[528.47872829],[0.],[528.47872829],[5.1992121],[10164.59259007],[0.09838073]
4F9/2,4I11/2,[541.43065498],[0.],[541.43065498],[5.65049549],[9582.00312908],[0.10436231]
4F9/2,4I13/2,[464.39329309],[0.],[464.39329309],[4.84651577],[9582.00312908],[0.10436231]
4F9/2,4I15/2,[8531.54792515],[0.],[8531.54792515],[89.03720663],[9582.00312908],[0.10436231]
4F9/2,4I9/2,[44.63125586],[0.],[44.63125586],[0.4657821],[9582.00312908],[0.10436231]
